
05-14-2025 19:03:54.566700 CST 127.0.0.1 [info]: referer: NULL REFERER El archivo C:\xampp\htdocs\mendez_hernandez_desarrollo_de_log\index.php ha sido cargado Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0
05-14-2025 19:56:15.132300 CST 127.0.0.1 [info]: referer: NULL REFERER El archivo C:\xampp\htdocs\mendez_hernandez_desarrollo_de_log\index.php ha sido cargado Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0
05-14-2025 19:57:13.703300 CST 127.0.0.1 [warning]: referer: http://localhost/mendez_hernandez_desarrollo_de_log/ HA INTENTADO SUPLAMANTAR UN REFERER NO AUTORIZADO Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0
05-14-2025 19:57:13.713800 CST 127.0.0.1 [info]: referer: http://localhost/mendez_hernandez_desarrollo_de_log/ El archivo C:\xampp\htdocs\mendez_hernandez_desarrollo_de_log\index.php ha sido cargado Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0
05-14-2025 19:57:23.464500 CST 127.0.0.1 [warning]: referer: http://localhost/mendez_hernandez_desarrollo_de_log/index.php?status=2 HA INTENTADO SUPLAMANTAR UN REFERER NO AUTORIZADO Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0
05-14-2025 19:57:23.474100 CST 127.0.0.1 [info]: referer: http://localhost/mendez_hernandez_desarrollo_de_log/index.php?status=2 El archivo C:\xampp\htdocs\mendez_hernandez_desarrollo_de_log\index.php ha sido cargado Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0
05-14-2025 19:57:46.060500 CST 127.0.0.1 [info]: referer: http://localhost/mendez_hernandez_desarrollo_de_log/index.php?status=2 El archivo C:\xampp\htdocs\mendez_hernandez_desarrollo_de_log\index.php ha sido cargado Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0
05-14-2025 19:57:59.432300 CST 127.0.0.1 [info]: referer: NULL REFERER El archivo C:\xampp\htdocs\mendez_hernandez_desarrollo_de_log\index.php ha sido cargado Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0
05-14-2025 19:59:56.096700 CST 127.0.0.1 [warning]: referer: http://localhost/mendez_hernandez_desarrollo_de_log/index.php?status=1 HA INTENTADO SUPLAMANTAR UN REFERER NO AUTORIZADO Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0
05-14-2025 19:59:56.134900 CST 127.0.0.1 [info]: referer: http://localhost/mendez_hernandez_desarrollo_de_log/index.php?status=1 El archivo C:\xampp\htdocs\mendez_hernandez_desarrollo_de_log\index.php ha sido cargado Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0
05-14-2025 20:00:03.563700 CST 127.0.0.1 [warning]: referer: http://localhost/mendez_hernandez_desarrollo_de_log/index.php?status=2 HA INTENTADO SUPLAMANTAR UN REFERER NO AUTORIZADO Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0
05-14-2025 20:00:03.571600 CST 127.0.0.1 [info]: referer: http://localhost/mendez_hernandez_desarrollo_de_log/index.php?status=2 El archivo C:\xampp\htdocs\mendez_hernandez_desarrollo_de_log\index.php ha sido cargado Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0
